,BTTUSDT,IOTXUSDT,XLMUSDT,OMGUSDT,BALUSDT,XTZUSDT,ARUSDT,DENTUSDT,GALAUSDT,ONTUSDT,BNBUSDT,DODOUSDT,ATOMUSDT,CRVUSDT,RAYUSDT,COTIUSDT,ALPHAUSDT,AXSUSDT,ATAUSDT,KNCUSDT,RENUSDT,C98USDT,DASHUSDT,KLAYUSDT,ZECUSDT,STMXUSDT,CHRUSDT,RLCUSDT,IOSTUSDT,RUNEUSDT,1INCHUSDT,CELOUSDT,AAVEUSDT,ANKRUSDT,CTSIUSDT,CVCUSDT,XMRUSDT,ARPAUSDT,LTCUSDT,FILUSDT,REEFUSDT,BCHUSDT,CTKUSDT,ONEUSDT,TOMOUSDT,NEARUSDT,AKROUSDT,BTCUSDT,KAVAUSDT,LUNAUSDT,FTMUSDT,SCUSDT,DYDXUSDT,SXPUSDT,HBARUSDT,ZRXUSDT,SOLUSDT,XRPUSDT,BELUSDT,ADAUSDT,KEEPUSDT,FLMUSDT,SKLUSDT,BZRXUSDT,OCEANUSDT,ICPUSDT,ALICEUSDT,DOGEUSDT,CHZUSDT,VETUSDT,BLZUSDT,MASKUSDT,RVNUSDT,SUSHIUSDT,ICXUSDT,STORJUSDT,ENJUSDT,NUUSDT,HNTUSDT,DGBUSDT,LINAUSDT,IOTAUSDT,NEOUSDT,ALGOUSDT,UNIUSDT,TRBUSDT,MTLUSDT,YFIIUSDT,EGLDUSDT,TRXUSDT,NKNUSDT,RSRUSDT,DOTUSDT,AUDIOUSDT,BANDUSDT,ZILUSDT,LITUSDT,BAKEUSDT,LINKUSDT,WAVESUSDT,BATUSDT,YFIUSDT,AVAXUSDT,GTCUSDT,MANAUSDT,ETCUSDT,UNFIUSDT,MKRUSDT,COMPUSDT,XEMUSDT,ETHUSDT,SANDUSDT,GRTUSDT,QTUMUSDT,OGNUSDT,KSMUSDT,CELRUSDT,BTSUSDT,ZENUSDT,LRCUSDT,THETAUSDT,EOSUSDT,SRMUSDT,HOTUSDT,TLMUSDT,MATICUSDT,SNXUSDT,SFPUSDT
2021-05-14 21:00:00,0.0060008,0.045179,0.70512,10.1179,62.925,6.3577,29.276,0.0066795,,2.1408,602.35,2.987,27.297,3.79,,0.41103,2.209,7.0435,,3.13,0.83978,,366.81,,307.21,0.040791,0.33343,8.8421,0.052044,19.028,5.9132,4.9337,579.71,0.14112,1.1098,0.49798,408.91,0.08192,324.77,121.56,0.044167,1283.54,2.3357,0.11829,2.1554,6.6826,0.046385,49627.01,5.6647,16.11,0.70825,0.031807,,4.065,0.3145,1.6668,42.148,1.3953,3.3545,2.1463,,0.8843,0.53848,0.7673,1.2361,294.85,11.072,0.52414,0.43456,0.18324,0.36828,,0.13755,18.175,2.1123,1.7591,2.0933,,15.508,0.11705,0.0799,1.9367,99.206,1.4555,41.675,104.544,3.4496,2870.76,163.72,0.1236,0.5433,0.07654,49.279,1.9791,15.162,0.19875,7.2942,6.4853,46.592,32.375,1.205,74552.74,37.299,,1.2761,106.5,21.664,4977.7,765.73,0.3166,4025.63,0.45766,1.408,21.483,1.3315,608.52,0.05275,,143.76,0.63315,9.888,11.1608,8.7027,0.011642,0.3908,1.67971,22.244,2.0747
2021-05-14 22:00:00,0.0059775,0.045303,0.68218,10.0717,62.094,6.3113,28.842,0.0066716,,2.1234,595.84,2.963,26.789,3.75,,0.39964,2.1784,7.0176,,3.102,0.82925,,366.75,,304.32,0.040528,0.33281,8.7468,0.051297,18.801,5.841,4.9064,585.71,0.1407,1.12106,0.49108,409.69,0.08111,322.26,120.22,0.044629,1274.62,2.3402,0.12022,2.1463,6.6524,0.045864,49322.03,5.7358,16.148,0.70028,0.031574,,4.033,0.3158,1.655,42.02,1.3916,3.3344,2.1028,,0.8754,0.53704,0.7579,1.2325,287.4,10.8442,0.52858,0.43795,0.18326,0.4109,,0.13646,18.074,2.0926,1.7521,2.0953,,15.374,0.11621,0.0793,1.9382,98.6,1.4459,41.288,103.488,3.4359,2802.47,163.67,0.1229,0.54111,0.07854,47.692,1.9806,15.23,0.19801,7.2313,6.24,46.938,32.11,1.2016,73980.74,37.8,,1.2709,107.2,21.631,4949.12,761.13,0.3149,4004.74,0.45724,1.4536,21.296,1.3221,587.23,0.05202,,142.01,0.63227,9.859,11.0673,8.6668,0.011555,0.3883,1.70826,22.237,2.0517
2021-05-14 23:00:00,0.0060017,0.045236,0.68377,10.2382,62.09,6.2994,29.579,0.006724,,2.1439,598.09,3.001,27.166,3.793,,0.41358,2.1814,7.092,,3.185,0.82796,,368.45,,306.09,0.041188,0.33658,8.6226,0.051683,19.027,6.028,4.8827,585.43,0.14279,1.115,0.49262,417.71,0.08254,324.3,120.35,0.044364,1287.09,2.3799,0.12226,2.1618,6.9491,0.046552,49666.46,5.8584,16.306,0.71617,0.031703,,4.068,0.31956,1.6667,41.923,1.3993,3.3762,2.1691,,0.8837,0.55409,0.7655,1.2564,288.23,10.9858,0.53654,0.46567,0.18303,0.42109,,0.14799,18.352,2.1265,1.771,2.1267,,15.326,0.11727,0.0802,1.9331,99.345,1.4459,41.711,104.355,3.4918,2845.46,166.18,0.1235,0.607,0.07932,48.646,2.0104,15.329,0.19725,7.358,6.2678,47.011,32.452,1.2144,73976.45,38.327,,1.2837,107.658,21.92,4978.8,759.81,0.3182,4036.44,0.46381,1.4853,21.428,1.3397,591.95,0.05141,,142.84,0.65081,9.97,11.1354,8.6008,0.011575,0.3907,1.82194,21.92,2.0552
2021-05-15 00:00:00,0.0059043,0.044368,0.66934,9.9095,60.845,6.1872,28.968,0.0066188,,2.0981,588.85,2.935,26.543,3.646,,0.40863,2.1262,6.954,,3.066,0.81256,,357.77,,300.19,0.041769,0.33504,8.5941,0.050129,18.702,5.8203,4.8009,565.56,0.14029,1.08248,0.47761,413.7,0.08174,317.94,118.34,0.04301,1253.72,2.301,0.11947,2.0967,6.9041,0.045323,48971.99,5.7316,15.975,0.6889,0.031087,,3.954,0.31201,1.6395,41.35,1.3687,3.2772,2.1086,,0.8606,0.5382,0.7447,1.226,284.17,10.6716,0.52362,0.46747,0.17978,0.442,,0.14677,17.786,2.0776,1.7242,2.0769,,15.182,0.11454,0.0781,1.8961,97.15,1.4033,40.242,101.59,3.3976,2781.94,163.07,0.12195,0.60357,0.07863,47.183,1.9678,14.865,0.19371,7.1372,6.1016,45.578,34.193,1.1908,71401.47,37.106,,1.2597,103.57,21.214,4888.13,743.42,0.3114,3961.95,0.45187,1.4578,20.827,1.3134,576.22,0.0507,,139.48,0.64354,9.731,10.8133,8.3851,0.011433,0.3802,1.77721,21.159,2.0052
2021-05-15 01:00:00,0.005819,0.043901,0.65479,9.7854,60.204,6.0933,27.849,0.0065119,,2.064,581.82,2.892,26.636,3.586,,0.4124,2.0865,6.7736,,3.003,0.80395,,353.29,,293.17,0.041604,0.3247,8.5707,0.049294,18.238,5.7258,4.7696,558.35,0.13708,1.06433,0.467,411.69,0.08091,312.25,117.25,0.041598,1241.33,2.2293,0.12068,2.055,6.6804,0.044531,48469.28,5.5733,15.778,0.66639,0.030354,,3.894,0.30586,1.6046,40.804,1.3478,3.1804,2.0945,,0.8408,0.52311,0.7244,1.1967,282.37,10.5445,0.511,0.45912,0.17595,0.43398,,0.14555,17.453,2.0363,1.6976,2.0334,,14.838,0.11262,0.0765,1.8618,95.844,1.3896,39.501,100.573,3.2951,2737.68,159.35,0.12016,0.57345,0.07573,46.33,1.8997,14.587,0.18977,6.9841,6.0334,44.857,32.829,1.1702,70647.32,35.755,,1.2398,101.453,20.909,4837.26,736.62,0.3042,3907.66,0.44123,1.4171,20.391,1.3012,563.63,0.04937,,136.06,0.61455,9.554,10.5579,8.2227,0.011269,0.3685,1.65789,21.351,1.968
2021-05-15 02:00:00,0.0058565,0.044127,0.6642,9.837,60.149,6.1219,27.886,0.00658,,2.0639,585.61,2.89,27.769,3.587,,0.41418,2.1028,6.8547,,3.022,0.80601,,355.29,,296.16,0.040896,0.33297,9.2,0.049843,18.495,5.6983,4.7459,562.4,0.13789,1.07691,0.46899,419.45,0.08033,314.19,117.64,0.041846,1245.6,2.234,0.126,2.0855,6.7298,0.044659,48826.08,5.6017,15.717,0.66319,0.03065,,3.891,0.30755,1.6084,40.979,1.3528,3.2229,2.1314,,0.85,0.52646,0.7313,1.2057,282.04,10.5895,0.51951,0.48199,0.17727,0.42643,,0.14902,17.616,2.0448,1.7158,2.0508,,14.918,0.11316,0.0779,1.8937,96.897,1.4098,39.51,101.567,3.3212,2737.86,160.96,0.12063,0.57649,0.07654,46.742,1.9045,14.771,0.19146,7.06,6.0084,44.809,32.968,1.177,71419.58,35.74,,1.246,103.06,21.196,4857.16,744.1,0.3093,3912.3,0.44501,1.4454,20.585,1.309,570.46,0.04928,,139.11,0.61517,9.638,10.6429,8.3242,0.0113,0.3689,1.68369,21.628,1.9925
2021-05-15 03:00:00,0.0058653,0.044066,0.67852,9.8735,60.394,6.1148,27.54,0.0065371,,2.0735,586.93,2.914,27.401,3.575,,0.42215,2.1186,6.8862,,3.049,0.80882,,355.09,,292.65,0.040744,0.34091,8.8823,0.049884,18.61,5.6609,4.742,561.78,0.13897,1.10512,0.4707,419.25,0.08014,314.09,117.68,0.041926,1246.57,2.238,0.128,2.089,6.9533,0.044803,48640.87,5.6538,15.814,0.66473,0.030701,,3.924,0.30876,1.6149,41.327,1.3525,3.2327,2.1972,,0.8491,0.52624,0.735,1.2095,280.69,10.7009,0.52133,0.51227,0.17779,0.43536,,0.15448,17.714,2.0621,1.7282,2.0629,,14.989,0.11287,0.0783,1.8933,96.496,1.4126,39.444,101.544,3.3197,2766.96,163.78,0.12119,0.57458,0.07802,46.185,1.8964,14.858,0.19243,7.045,6.23,44.744,33.062,1.1785,71407.97,35.817,,1.2504,103.369,21.254,4888.5,743.76,0.3082,3894.95,0.46755,1.4334,20.563,1.3152,577.72,0.04918,,137.82,0.61453,9.69,10.6723,8.2871,0.011363,0.373,1.65899,21.694,1.9893
2021-05-15 04:00:00,0.0058125,0.043283,0.66437,9.7913,59.365,6.0633,29.417,0.0065447,,2.0535,581.87,2.894,26.765,3.489,,0.40835,2.0901,6.8028,,2.97,0.80876,,350.58,,290.99,0.039313,0.32883,8.8442,0.049035,18.079,5.5663,4.724,551.83,0.13732,1.0958,0.46539,418.86,0.07943,308.6,116.04,0.0409,1224.42,2.2104,0.12308,2.0633,6.5711,0.0449,48379.9,5.4962,15.638,0.65301,0.029992,,3.86,0.30521,1.5905,40.755,1.3444,3.1932,2.1566,,0.8345,0.52188,0.7214,1.1875,281.74,10.57,0.51086,0.49809,0.17529,0.43208,,0.1497,17.29,2.004,1.6871,2.0383,,14.819,0.11044,0.0771,1.86,95.534,1.404,38.844,100.105,3.2748,2717.13,160.75,0.11994,0.56754,0.07602,45.417,1.8825,14.637,0.18907,6.9455,5.9009,44.087,32.449,1.1668,71027.69,36.493,,1.2327,101.292,20.903,4818.32,733.84,0.3053,3844.35,0.45611,1.4035,20.305,1.3011,571.34,0.04758,,135.24,0.60784,9.616,10.464,8.1649,0.011214,0.3695,1.64457,20.945,1.956
2021-05-15 05:00:00,0.0058693,0.043818,0.6754,9.9018,60.077,6.1029,29.399,0.0067606,,2.0948,587.32,2.928,27.807,3.524,,0.42612,2.1187,6.839,,3.008,0.81328,,354.31,,294.91,0.03987,0.33394,8.9866,0.049394,18.324,5.6595,4.8767,557.84,0.13846,1.08444,0.47068,430.44,0.07991,314.65,116.86,0.04179,1240.81,2.2412,0.13478,2.1019,6.6094,0.045,48929.74,5.5036,15.826,0.6594,0.030396,,3.928,0.30891,1.6072,41.206,1.3561,3.236,2.16,,0.846,0.5289,0.731,1.2096,281.99,10.7448,0.51924,0.4883,0.17688,0.45545,,0.15137,17.614,2.05,1.705,2.0707,,14.991,0.11263,0.0785,1.8966,96.802,1.4112,38.973,101.564,3.3085,2757.49,163.68,0.12114,0.58233,0.07638,45.845,1.8868,14.801,0.19129,7.03,6.0232,43.861,32.767,1.1822,71666.47,37.19,,1.2515,103.12,21.1,4892.77,741.15,0.3092,3902.03,0.4876,1.4343,20.53,1.3158,574.02,0.0489,,137.12,0.61246,9.738,10.622,8.288,0.011328,0.3721,1.74168,21.252,1.983
2021-05-15 06:00:00,0.0058797,0.044216,0.69091,9.906,60.2,6.1267,29.028,0.0066914,,2.0913,590.81,2.918,28.183,3.503,,0.43269,2.126,6.948,,3.011,0.82189,,354.78,,294.5,0.040625,0.33638,8.8697,0.049939,18.359,5.7084,4.8648,565.79,0.13738,1.08251,0.47193,439.28,0.08325,314.15,117.36,0.041752,1238.65,2.249,0.13905,2.1176,6.6932,0.04523,49167.21,5.494,15.89,0.65662,0.030662,,3.912,0.31953,1.6199,41.241,1.3607,3.2331,2.2632,,0.8487,0.5268,0.7363,1.2105,283.33,10.7695,0.52764,0.48714,0.17904,0.439,,0.15461,17.859,2.05,1.7082,2.0851,,15.055,0.11253,0.0785,1.9113,96.718,1.4246,39.112,102.046,3.3261,2762.32,164.25,0.1217,0.5761,0.07669,46.915,1.8849,14.808,0.19341,7.1037,6.142,44.014,33.23,1.1835,72959.97,37.92,,1.2529,103.764,21.084,4899.06,747.18,0.3115,3916.82,0.48757,1.4871,20.679,1.3278,590.74,0.0524,,137.64,0.63169,9.814,10.6438,8.3528,0.011349,0.3735,1.83115,21.468,1.9972
